Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr
MT1L,0.15900367274768887,0.012522084326321061,0.050696346024018915,False,0.15900367274768887
LURAP1L,-0.15895127689703717,0.01255154782746153,0.050725907554288574,False,0.15895127689703717
BBS7,-0.1589391855468868,0.012558355753731638,0.050725907554288574,False,0.1589391855468868
LOC100507516,0.15891097239653584,0.012574253552312495,0.05073160822603497,False,0.15891097239653584
HOPX,0.1588472912857438,0.012610202263966176,0.05077803061064603,False,0.1588472912857438
MIR99AHG,0.15883923038564354,0.01261475917511766,0.05077803061064603,False,0.15883923038564354
ARPC2,0.1587364539093652,0.012672986916110006,0.05095384636075458,False,0.1587364539093652
METTL24,-0.15867035452854306,0.012710560156361253,0.051046309251808614,False,0.15867035452854306
DNAH14,0.15833099063432204,0.012905013760579676,0.05171237411146317,False,0.15833099063432204
RASAL3,0.158329378454302,0.012905943738840324,0.05171237411146317,False,0.158329378454302
LAMA1,0.15823788723816404,0.012958816658180503,0.05186488678508357,False,0.15823788723816404
MED11,-0.1581411564369609,0.01301492455765048,0.05195445517858249,False,0.1581411564369609
MRAS,0.15813873816693083,0.013016329987016155,0.05195445517858249,False,0.15813873816693083
MOB3A,0.15812261636673028,0.013025702925983845,0.05195445517858249,False,0.15812261636673028
FCGBP,0.15808029664120393,0.013050335124205358,0.051993485329883,False,0.15808029664120393
SHC3,0.15805329262586804,0.013066074202691699,0.05199703620207538,False,0.15805329262586804
GLS2,-0.15799767241517623,0.013098544587497409,0.05206708643066507,False,0.15799767241517623
FAM181A,0.15795857704968996,0.013121410397988942,0.0520988426459833,False,0.15795857704968996
KCNJ3,-0.15787796804868737,0.013168667159645051,0.05222726205331481,False,0.15787796804868737
ELMOD2,-0.15780824126282011,0.013209664830414752,0.05233059528971998,False,0.15780824126282011
KHDRBS3,-0.1577014343364916,0.013272682211903414,0.05251526218620105,False,0.1577014343364916
ZMIZ2,0.15767846077120587,0.01328627135835926,0.05251526218620105,False,0.15767846077120587
IFFO2,-0.15758172997000275,0.013343622992356993,0.05268248897320653,False,0.15758172997000275
EVI2B,0.157528528029341,0.013375258995927935,0.05274792455376084,False,0.157528528029341
GNB4,0.15731773549171918,0.013501253241690193,0.05318491434465586,False,0.15731773549171918
GMPR,-0.15716296620979417,0.013594423833277577,0.05349176658891918,False,0.15716296620979417
RXRA,0.15704850142837046,0.01366369392341947,0.05368794822121846,False,0.15704850142837046
RTL6,0.15702996135813985,0.013674942836472548,0.05368794822121846,False,0.15702996135813985
MAPK10,-0.15697031069739792,0.01371119016492158,0.05376997531641139,False,0.15697031069739792
NEFM,-0.15691428744170108,0.013745310033652501,0.05379582590838243,False,0.15691428744170108
FYB1,0.15690904785663592,0.01374850490805319,0.05379582590838243,False,0.15690904785663592
OCEL1,-0.15679256785018714,0.013819697920478647,0.05396057412195471,False,0.15679256785018714
GLCCI1,-0.15678974653515207,0.01382142632421284,0.05396057412195471,False,0.15678974653515207
ESRRA,-0.15666681780862304,0.013896919782562791,0.054150074531147174,False,0.15666681780862304
ST20,0.15666036908854286,0.013900890063821048,0.054150074531147174,False,0.15666036908854286
SLC2A10,0.15659628493274577,0.01394039885272227,0.054243640869148214,False,0.15659628493274577
SCRT1,-0.1565632352423347,0.013960812933811826,0.05426278234651389,False,0.1565632352423347
ZRANB3,0.15652212465182336,0.013986242657042753,0.05430135452878461,False,0.15652212465182336
BEND6,-0.15638226803508382,0.014073058094306248,0.05451653696745091,False,0.15638226803508382
SRGAP1,0.1563605036048131,0.014086610692149833,0.05451653696745091,False,0.1563605036048131
ISLR,-0.156357682289778,0.014088368348241884,0.05451653696745091,False,0.156357682289778
IQCJ,0.15633027522943713,0.01410545273441501,0.05452240118755118,False,0.15633027522943713
